Region,District,District No.,School Name,School No.,NCES School No.,Principal,School Type,Grade Level,Categories,County,Status,address,Address 1 City,Address 1 State,Address 1 Zipcode,Address 2 Composite,Phone 1,Phone 2,Fax 1,Email Address
Southwest,Madison County Private Schools,09570,5 Point Learning Academy,9705,,Sherri Yetto,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Madison,Active,"964 S. Highland Avenue
 Jackson, TN 38301-7304",Jackson,TN,38301-7304,,731-225-8672,,,admin@5pointlearningacademy.com
Upper Cumberland,Overton County,00670,A H Roberts Elementary,0065,4.70333E+11,James Cox,Public,"PK, K, 1, 2, 3, 4",,Overton,Active,"301 Zachary Street
 Livingston, TN 38570",Livingston,TN,38570,,931-823-5551,,931-823-5965,jamescox@oc-sd.com
East Tennessee,Knox County,00470,A L Lotts Elementary,0066,4.70222E+11,Tracy Marsh,Public,"K, 1, 2, 3, 4, 5",,Knox,Active,"9320 Westland Drive
 Knoxville, TN 37922",Knoxville,TN,37922,,865-539-8611,,865-539-8632,tracy.marsh@knoxschools.org
Mid Cumberland,Davidson County Private Schools,09190,A New Leaf,9868,,Helene Harvey,Private,"PK, K, 1, 2",Category I - Approved by TDOE,Davidson,Active,"4335 Pecan Valley Road
 Nashville, TN 37218",Nashville,TN,37218,,615-212-9629,,,elle@anewleafnashville.org
Southwest,Memphis-Shelby County Schools,00792,A. B. Hill Elementary,2005,4.70015E+11,Derek McIntosh,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"345 East Olive Avenue
 Memphis, TN 38106-4207",Memphis,TN,38106-4207,,901-416-7844,,901-416-7890,mcintoshd@scsk12.org
Mid Cumberland,Davidson County Private Schools,09190,Abintra Montessori School,9005,,Amber Oxley,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"914 Davidson Drive
 Nashville, TN 37205",Nashville,TN,37205,"914 Davidson Drive
 Nashville, TN 37205",615-352-4317,,,amber.oxley@abintra.org
First Tennessee,Kingsport,00822,Abraham Lincoln Elementary School,0030,4.70219E+11,Suzanne Zahner,Public,"PK, K, 1, 2, 3, 4, 5",,Sullivan,Active,"1000 Summer Street
 Kingsport, TN 37664",Kingsport,TN,37664,,423-378-2360,,423-378-2375,szahner@k12k.com
Mid Cumberland,Rutherford County Private Schools,09750,Abundant Life Christian Academy,9738,,Brittany Blakesleay,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9",Category IV - Church Related Schools,Rutherford,Active,"5904 New Nashville Highway
 Murfreesboro, TN 37129",Murfreesboro,TN,37129,,615-896-5333,,,office@abundantacademy.com
Southwest,McNairy County,00550,Adamsville Elementary,0005,4.70288E+11,Danny Combs,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,McNairy,Active,"220 South Elm
 Adamsville, TN 38310",Adamsville,TN,38310,"P. O. Box 335
 Adamsville, TN 38310",731-439-4137,,,combsd@mcnairy.org
East Tennessee,Knox County,00470,Adrian Burnett Elementary,0003,4.70222E+11,Stephanie Prince,Public,"K, 1, 2, 3, 4, 5",,Knox,Active,"4521 Brown Gap Road
 Knoxville, TN 37918",Knoxville,TN,37918,,865-689-1474,,865-689-1476,stephanie.prince@knoxschools.org
