"Region","District","District.No.","School.Name","School.No.","NCES.School.No.","Principal","School.Type","Grade.Level","Categories","County","Status","address","Address.1.City","Address.1.State","Address.1.Zipcode","Address.2.Composite","Phone.1","Phone.2","Fax.1","Email.Address","STATEFP","SLDLST","GEOID","GEOIDFQ","NAMELSAD","LSAD","LSY","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"Southwest","Madison County Private Schools",9570,"5 Point Learning Academy",9705,NA,"Sherri Yetto","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Madison","Active","964 S. Highland Avenue
 Jackson, TN 38301-7304","Jackson","TN","38301-7304","","731-225-8672",NA,"","admin@5pointlearningacademy.com","47","073","47073","620L900US47073","State House District 73","LL","2024","G5220","N",1034793145,3135857,"+35.7026317","-088.7189177"
"Upper Cumberland","Overton County",670,"A H Roberts Elementary",65,4.70333e+11,"James Cox","Public","PK, K, 1, 2, 3, 4","","Overton","Active","301 Zachary Street
 Livingston, TN 38570","Livingston","TN","38570","","931-823-5551",NA,"931-823-5965","jamescox@oc-sd.com","47","041","47041","620L900US47041","State House District 41","LL","2024","G5220","N",3433702932,10144715,"+36.2269633","-084.8410320"
"East Tennessee","Knox County",470,"A L Lotts Elementary",66,4.70222e+11,"Tracy Marsh","Public","K, 1, 2, 3, 4, 5","","Knox","Active","9320 Westland Drive
 Knoxville, TN 37922","Knoxville","TN","37922","","865-539-8611",NA,"865-539-8632","tracy.marsh@knoxschools.org","47","014","47014","620L900US47014","State House District 14","LL","2024","G5220","N",121598621,21498293,"+35.8660799","-084.1030856"
"Mid Cumberland","Davidson County Private Schools",9190,"A New Leaf",9868,NA,"Helene Harvey","Private","PK, K, 1, 2","Category I - Approved by TDOE","Davidson","Active","4335 Pecan Valley Road
 Nashville, TN 37218","Nashville","TN","37218","","615-212-9629",NA,"","elle@anewleafnashville.org","47","050","47050","620L900US47050","State House District 50","LL","2024","G5220","N",417484360,5334392,"+36.2453714","-086.8854407"
"Southwest","Memphis-Shelby County Schools",792,"A. B. Hill Elementary",2005,4.70015e+11,"Derek McIntosh","Public","PK, K, 1, 2, 3, 4, 5","","Shelby","Active","345 East Olive Avenue
 Memphis, TN 38106-4207","Memphis","TN","38106-4207","","901-416-7844",NA,"901-416-7890","mcintoshd@scsk12.org","47","091","47091","620L900US47091","State House District 91","LL","2024","G5220","N",70958141,0,"+35.0945351","-090.0107775"
"Mid Cumberland","Davidson County Private Schools",9190,"Abintra Montessori School",9005,NA,"Amber Oxley","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency","Davidson","Active","914 Davidson Drive
 Nashville, TN 37205","Nashville","TN","37205","914 Davidson Drive
 Nashville, TN 37205","615-352-4317",NA,"","amber.oxley@abintra.org","47","059","47059","620L900US47059","State House District 59","LL","2024","G5220","N",204679089,336807,"+36.0504586","-086.8514151"
"First Tennessee","Kingsport",822,"Abraham Lincoln Elementary School",30,4.70219e+11,"Suzanne Zahner","Public","PK, K, 1, 2, 3, 4, 5","","Sullivan","Active","1000 Summer Street
 Kingsport, TN 37664","Kingsport","TN","37664","","423-378-2360",NA,"423-378-2375","szahner@k12k.com","47","002","47002","620L900US47002","State House District 2","LL","2024","G5220","N",309943554,5015733,"+36.5242095","-082.4455965"
"Mid Cumberland","Rutherford County Private Schools",9750,"Abundant Life Christian Academy",9738,NA,"Brittany Blakesleay","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9","Category IV - Church Related Schools","Rutherford","Active","5904 New Nashville Highway
 Murfreesboro, TN 37129","Murfreesboro","TN","37129","","615-896-5333",NA,"","office@abundantacademy.com","47","037","47037","620L900US47037","State House District 37","LL","2024","G5220","N",194865365,10283706,"+35.9614893","-086.4341874"
"Southwest","McNairy County",550,"Adamsville Elementary",5,4.70288e+11,"Danny Combs","Public","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","","McNairy","Active","220 South Elm
 Adamsville, TN 38310","Adamsville","TN","38310","P. O. Box 335
 Adamsville, TN 38310","731-439-4137",NA,"","combsd@mcnairy.org","47","094","47094","620L900US47094","State House District 94","LL","2024","G5220","N",3502304525,7779285,"+35.0991595","-089.3093585"
"East Tennessee","Knox County",470,"Adrian Burnett Elementary",3,4.70222e+11,"Stephanie Prince","Public","K, 1, 2, 3, 4, 5","","Knox","Active","4521 Brown Gap Road
 Knoxville, TN 37918","Knoxville","TN","37918","","865-689-1474",NA,"865-689-1476","stephanie.prince@knoxschools.org","47","016","47016","620L900US47016","State House District 16","LL","2024","G5220","N",150670626,3662,"+36.0652815","-083.9866763"
